Posicao,Municípios,IDHM,IDHM Renda,IDHM Longevidade,IDHM Educação
108, Barreiros, 0.586, 0.561, 0.730, 0.491
110, Sairé, 0.585, 0.581, 0.784, 0.440
110, Solidão, 0.585, 0.547, 0.755, 0.485
112, Carnaíba, 0.583, 0.540, 0.727, 0.505
113, Vertentes, 0.582, 0.602, 0.728, 0.450
114, Amaraji, 0.580, 0.575, 0.748, 0.454
114, Ibirajuba, 0.580, 0.545, 0.753, 0.476
114, Primavera, 0.580, 0.572, 0.767, 0.444
117, Cachoeirinha, 0.579, 0.587, 0.753, 0.439
118, Belém de Maria, 0.578, 0.537, 0.749, 0.479
118, Machados, 0.578, 0.541, 0.767, 0.466
120, Quixaba, 0.577, 0.530, 0.752, 0.482
120, Barra de Guabiraba, 0.577, 0.558, 0.726, 0.474
122, Frei Miguelinho, 0.576, 0.575, 0.758, 0.438
122, João Alfredo, 0.576, 0.569, 0.720, 0.466
122, Exu, 0.576, 0.543, 0.775, 0.454
125, Jupi, 0.575, 0.560, 0.698, 0.487
125, Itambé, 0.575, 0.566, 0.727, 0.463
125, Jaqueira, 0.575, 0.557, 0.751, 0.454
128, Brejinho, 0.574, 0.563, 0.681, 0.493
129, Carnaubeira da Penha, 0.573, 0.491, 0.755, 0.508
129, Tacaratu, 0.573, 0.521, 0.711, 0.507
131, Angelim, 0.572, 0.555, 0.751, 0.448
131, Cumaru, 0.572, 0.553, 0.720, 0.470
131, Ouricuri, 0.572, 0.578, 0.773, 0.419
134, Calumbi, 0.571, 0.567, 0.715, 0.460
135, Riacho das Almas, 0.570, 0.586, 0.757, 0.418
135, São João, 0.570, 0.565, 0.768, 0.426
137, Panelas, 0.569, 0.546, 0.778, 0.433
138, Cortês, 0.568, 0.541, 0.707, 0.478
139, Casinhas, 0.567, 0.518, 0.721, 0.489
139, Pedra, 0.567, 0.550, 0.743, 0.445
141, Calçado, 0.566, 0.529, 0.731, 0.468
142, Bodocó, 0.565, 0.543, 0.745, 0.445
143, Bom Conselho, 0.563, 0.585, 0.704, 0.433
143, Vertente do Lério, 0.563, 0.532, 0.726, 0.461
145, Brejo da Madre de Deus, 0.562, 0.581, 0.734, 0.417
146, Bonito, 0.561, 0.559, 0.754, 0.420
147, Saloá, 0.559, 0.559, 0.744, 0.421
147, Betânia, 0.559, 0.533, 0.742, 0.441
149, Flores, 0.556, 0.544, 0.745, 0.423
150, Tacaimbó, 0.554, 0.536, 0.748, 0.423
150, Joaquim Nabuco, 0.554, 0.561, 0.676, 0.449
152, Água Preta, 0.553, 0.514, 0.761, 0.432
153, Xexéu, 0.552, 0.549, 0.703, 0.436
153, Quipapá, 0.552, 0.530, 0.743, 0.427
153, Ibimirim, 0.552, 0.533, 0.706, 0.446
156, Lagoa dos Gatos, 0.551, 0.555, 0.725, 0.416
157, Ipubi, 0.550, 0.541, 0.712, 0.433
157, Jucati, 0.550, 0.541, 0.681, 0.451
159, Santa Cruz, 0.549, 0.522, 0.722, 0.438
159, Palmeirina, 0.549, 0.554, 0.681, 0.438
159, São Vicente Ferrer, 0.549, 0.558, 0.715, 0.414
159, Capoeiras, 0.549, 0.529, 0.746, 0.419
163, Santa Maria do Cambucá, 0.548, 0.571, 0.735, 0.393
164, Brejão, 0.547, 0.540, 0.725, 0.417
165, Terezinha, 0.545, 0.536, 0.711, 0.425
166, Canhotinho, 0.541, 0.543, 0.725, 0.403
167, São Joaquim do Monte, 0.537, 0.549, 0.741, 0.381
167, Paranatama, 0.537, 0.528, 0.703, 0.418
169, Correntes, 0.536, 0.551, 0.726, 0.385
170, Salgadinho, 0.534, 0.516, 0.730, 0.405
170, Maraial, 0.534, 0.541, 0.698, 0.403
172, Santa Filomena, 0.533, 0.496, 0.752, 0.406
173, Jataúba, 0.531, 0.530, 0.706, 0.398
173, Manari, 0.531, 0.475, 0.712, 0.416
